time (us),x (mdps),y (mdps),z(mdps)
1759265562718228,1155,-1365,-743.75,
1759265562727985,1461.25,-1820,-1233.75,
1759265562738171,2082.5,-3228.75,-1365,
1759265562748140,2423.75,-3517.5,-743.75,
1759265562758139,2651.25,-2773.75,-1391.25,
1759265562768123,1496.25,-2992.5,-1557.5,
1759265562778158,813.75,-3535,-962.5,
1759265562788166,253.75,-2336.25,682.5,
1759265562798090,8.75,-1881.25,997.5,
1759265562808073,-533.75,-621.25,367.5,
1759265562818087,-1400,306.25,787.5,
1759265562828084,-2441.25,612.5,1076.25,
1759265562838083,-2502.5,971.25,700,
1759265562848125,-2082.5,953.75,122.5,
1759265562858115,-210,1400,192.5,
1759265562868020,-8.75,332.5,227.5,
1759265562878111,1251.25,-770,-78.75,
1759265562888110,2222.5,-892.5,-1470,
1759265562899636,2371.25,-2721.25,-1898.75,
1759265562909720,2878.75,-2773.75,-1933.75,
1759265562919974,2686.25,-3438.75,-1671.25,
1759265562929599,3255,-3080,-1347.5,
1759265562939596,1767.5,-3255,-1233.75,
1759265562949659,218.75,-2861.25,96.25,
1759265562959622,-910,-2196.25,385,
1759265562969554,-2388.75,-2030,1251.25,
1759265562979586,-2318.75,-455,1225,
1759265562989777,-2555,-1251.25,2248.75,
1759265562999667,-2275,656.25,1977.5,
1759265563009704,-1925,105,1391.25,
1759265563019723,-1076.25,490,1356.25,
1759265563029661,1041.25,-551.25,-971.25,
1759265563039766,1286.25,-1601.25,-813.75,
1759265563049656,2572.5,-761.25,-2441.25,
1759265563059654,2861.25,-1225,-2310,
1759265563069768,2843.75,-630,-2922.5,
1759265563079756,3500,-1093.75,-2852.5,
1759265563089686,1750,-2668.75,-1120,
1759265563099683,2336.25,-1093.75,-1330,
1759265563109681,2047.5,-787.5,603.75,
1759265563120065,883.75,420,1172.5,
1759265563129677,-1583.75,17.5,1863.75,
1759265563139677,-2677.5,-1487.5,2397.5,
1759265563149633,-3272.5,-2581.25,1925,
1759265563159669,-4908.75,-1452.5,2380,
1759265563169840,-2940,-3001.25,1058.75,
1759265563179698,-1592.5,-2598.75,568.75,
1759265563189822,-1636.25,-3500,-1426.25,
1759265563199728,-2178.75,-3211.25,-1968.75,
1759265563209725,-700,-3456.25,-1137.5,
1759265563219803,1662.5,-2808.75,-1417.5,
1759265563229655,3185,-2003.75,-1155,
1759265563239718,2922.5,26.25,-2178.75,
1759265563249715,621.25,-1373.75,490,
1759265563259644,735,-735,1505,
1759265563269714,1400,1636.25,-341.25,
1759265563279605,2581.25,3937.5,-551.25,
1759265563289706,586.25,1732.5,778.75,
1759265563299704,-35,2537.5,1916.25,
1759265563309702,892.5,2625,-1706.25,
1759265563319705,-26.25,2721.25,-1487.5,
1759265563329697,105,2450,-621.25,
1759265563339699,551.25,1723.75,1260,
1759265563349692,-1277.5,1198.75,-1540,
1759265563359787,-428.75,-787.5,-2108.75,
1759265563369783,-262.5,-1522.5,1111.25,
1759265563379685,70,-297.5,-446.25,
1759265563389655,-332.5,-2152.5,-192.5,
1759265563399682,402.5,-2380,-1365,
1759265563409680,-166.25,-997.5,43.75,
1759265563419741,-1023.75,-2450,0,
1759265563429724,-1347.5,-892.5,-1058.75,
1759265563439672,-1408.75,-306.25,962.5,
1759265563449699,52.5,936.25,901.25,
1759265563459692,-551.25,621.25,376.25,
1759265563469715,26.25,393.75,-140,
1759265563479662,-236.25,1032.5,1023.75,
1759265563489659,743.75,2038.75,481.25,
1759265563499657,2240,1863.75,-840,
1759265563509685,2301.25,2030,-1732.5,
1759265563519657,2966.25,1557.5,-866.25,
1759265563529746,1916.25,822.5,-708.75,
1759265563539745,1583.75,1120,-2283.75,
1759265563549645,2371.25,665,-1312.5,
1759265563559643,1863.75,96.25,-638.75,
1759265563569827,2012.5,-490,-980,
1759265563579735,315,-1321.25,-726.25,
1759265563589751,-638.75,-735,-393.75,
1759265563599659,-1426.25,-1400,1557.5,
1759265563609681,-1802.5,-2231.25,1583.75,
1759265563619666,-1155,-1505,1155,
1759265563629716,-735,-2651.25,2047.5,
1759265563639878,-420,-2187.5,1662.5,
1759265563649765,-568.75,-1802.5,726.25,
1759265563659736,586.25,-1426.25,-376.25,
1759265563669998,1093.75,-1251.25,-1435,
1759265563679714,2563.75,-910,-1417.5,
1759265563689788,2843.75,-175,-2493.75,
1759265563699661,2520,-236.25,-1277.5,
1759265563709659,2450,752.5,-936.25,
1759265563719724,2318.75,420,-210,
1759265563729653,1986.25,271.25,113.75,
1759265563739601,2100,568.75,210,
1759265563749695,1242.5,323.75,875,
1759265563759739,1277.5,647.5,-96.25,
1759265563769696,262.5,-980,-428.75,
1759265563779688,980,-1793.75,96.25,
1759265563789703,551.25,-1855,43.75,
1759265563799732,393.75,-3018.75,-472.5,
1759265563809754,673.75,-2983.75,-691.25,
1759265563819704,43.75,-3071.25,96.25,
1759265563829687,350,-4086.25,-376.25,
1759265563840102,-131.25,-3955,-376.25,
1759265563849664,-446.25,-3237.5,-507.5,
1759265563859700,-218.75,-2633.75,262.5,
1759265563869807,-708.75,-1155,568.75,
1759265563879594,-525,-743.75,148.75,
1759265563889873,-463.75,-822.5,988.75,
1759265563899835,236.25,26.25,253.75,
1759265563909807,770,350,17.5,
1759265563919834,70,1120,-787.5,
