time (us),x (mdps),y (mdps),z(mdps)
1759265563929769,621.25,962.5,-980,
1759265563939823,1496.25,-498.75,-595,
1759265563949820,1942.5,-455,-1960,
1759265563959818,1933.75,-1645,-1373.75,
1759265563969986,1758.75,-2091.25,-516.25,
1759265563980066,1898.75,-1697.5,-726.25,
1759265563989851,1356.25,-2738.75,-1015,
1759265563999809,52.5,-2747.5,-1268.75,
1759265564009846,-665,-3255,-288.75,
1759265564019835,-1137.5,-2520,-236.25,
1759265564029801,-2782.5,-1067.5,-752.5,
1759265564039910,-3167.5,-1400,113.75,
1759265564049797,-3902.5,-936.25,1610,
1759265564059833,-4077.5,-1015,1321.25,
1759265564069857,-3412.5,-1050,883.75,
1759265564079829,-2756.25,-385,980,
1759265564089826,-1338.75,-26.25,1163.75,
1759265564099824,-612.5,-472.5,-227.5,
1759265564109821,385,-962.5,-1566.25,
1759265564119823,1557.5,-1216.25,-1802.5,
1759265564129906,1968.75,-857.5,-2423.75,
1759265564139815,2301.25,-717.5,-3018.75,
1759265564149812,2266.25,-875,-2695,
1759265564159810,1566.25,-280,-1802.5,
1759265564169812,385,-323.75,-1347.5,
1759265564179805,-358.75,-192.5,-796.25,
1759265564189803,-1855,358.75,411.25,
1759265564199926,-2318.75,122.5,1461.25,
1759265564209798,-2756.25,52.5,1277.5,
1759265564219854,-3377.5,-17.5,1032.5,
1759265564229793,-3561.25,-656.25,1172.5,
1759265564239889,-3228.75,-1251.25,1041.25,
1759265564249788,-2677.5,-1233.75,78.75,
1759265564259857,-1426.25,-1575,-953.75,
1759265564269814,-953.75,-2616.25,-918.75,
1759265564279723,481.25,-2056.25,-997.5,
1759265564289780,621.25,-2100,-1986.25,
1759265564299801,796.25,-2170,-1785,
1759265564309903,1295,-1435,-1023.75,
1759265564319866,1487.5,-1198.75,-297.5,
1759265564329842,1811.25,-376.25,-700,
1759265564340088,638.75,262.5,-288.75,
1759265564349836,638.75,1338.75,525,
1759265564359788,87.5,1636.25,131.25,
1759265564369847,218.75,1067.5,43.75,
1759265564379829,315,1076.25,-350,
1759265564389842,586.25,1172.5,315,
1759265564399839,577.5,113.75,-411.25,
1759265564409822,638.75,-481.25,-735,
1759265564420020,875,-1067.5,-673.75,
1759265564429848,1137.5,-2178.75,-752.5,
1759265564439815,1111.25,-2310,-210,
1759265564450005,1338.75,-2485,-297.5,
1759265564459810,787.5,-2310,26.25,
1759265564469824,428.75,-1995,-437.5,
1759265564480010,-8.75,-2073.75,-157.5,
1759265564489860,35,-787.5,-70,
1759265564499855,-306.25,-1032.5,647.5,
1759265564509852,-717.5,-393.75,568.75,
1759265564519815,78.75,507.5,787.5,
1759265564529794,-26.25,43.75,1540,
1759265564539888,481.25,-17.5,1015,
1759265564554526,2257.5,-437.5,402.5,
1759265564564083,3027.5,-166.25,-726.25,
1759265564574079,3605,-96.25,-708.75,
1759265564583965,4270,-595,-1478.75,
1759265564593996,3736.25,-1207.5,-1995,
1759265564604049,3683.75,-1181.25,-2135,
1759265564614070,3421.25,-1443.75,-1128.75,
1759265564623976,2432.5,-358.75,-761.25,
1759265564634074,1872.5,-656.25,-490,
1759265564644063,315,-735,586.25,
1759265564654143,-621.25,-131.25,988.75,
1759265564663958,-892.5,-455,1951.25,
1759265564674025,-1225,-183.75,1443.75,
1759265564684227,-1338.75,-105,1618.75,
1759265564693976,-770,-376.25,1601.25,
1759265564704002,-472.5,-621.25,385,
1759265564714083,-43.75,-1225,-227.5,
1759265564724014,1268.75,-1190,-892.5,
1759265564733963,1968.75,-1268.75,-1356.25,
1759265564743925,2966.25,-1085,-1811.25,
1759265564754092,2966.25,-883.75,-1391.25,
1759265564763957,2878.75,-656.25,-1443.75,
1759265564774020,2222.5,-61.25,-1076.25,
1759265564784039,1890,350,-568.75,
1759265564793997,1207.5,918.75,175,
1759265564804050,481.25,796.25,700,
1759265564813929,8.75,1356.25,507.5,
1759265564824019,-612.5,1347.5,875,
1759265564834091,-1216.25,857.5,533.75,
1759265564844154,-1032.5,507.5,358.75,
1759265564854105,-630,61.25,-61.25,
1759265564863898,-323.75,-621.25,-61.25,
1759265564873960,332.5,-1067.5,-35,
1759265564884159,245,-1478.75,-393.75,
1759265564893973,341.25,-1478.75,-612.5,
1759265564904082,1155,-1846.25,-1172.5,
1759265564913994,1120,-1452.5,-831.25,
1759265564924261,708.75,-1172.5,-752.5,
1759265564933969,525,-507.5,-1076.25,
1759265564944088,-481.25,-262.5,-1050,
1759265564954140,-813.75,595,-253.75,
1759265564963957,-1592.5,656.25,-350,
1759265564973955,-1951.25,1032.5,288.75,
1759265564984087,-1365,1706.25,498.75,
1759265564993953,-1006.25,1461.25,822.5,
1759265565003999,-1198.75,1093.75,463.75,
1759265565013945,-533.75,892.5,-122.5,
1759265565024056,-166.25,-131.25,-560,
1759265565034045,26.25,-936.25,-1050,
1759265565044103,420,-1548.75,-1076.25,
1759265565053804,1408.75,-1785,-1435,
1759265565064060,761.25,-1872.5,-1592.5,
1759265565074192,840,-2073.75,-1750,
1759265565083993,-192.5,-1715,-1540,
1759265565094091,-1076.25,-1680,-805,
1759265565104055,-1172.5,-1050,78.75,
1759265565113991,-1566.25,-525,778.75,
1759265565123964,-2178.75,-332.5,1198.75,
1759265565134210,-2371.25,-96.25,1128.75,
1759265565144012,-2047.5,376.25,647.5,
1759265565154068,-1898.75,52.5,393.75,
1759265565163974,-1006.25,-498.75,78.75,
1759265565173908,-96.25,-280,-577.5,
1759265565184016,708.75,-726.25,-1128.75,
1759265565194028,1400,-901.25,-1758.75,
1759265565204183,1706.25,-1435,-2117.5,
1759265565214026,1085,-1715,-2423.75,
1759265565223980,1470,-2021.25,-1723.75,
1759265565233997,892.5,-1872.5,-901.25,
1759265565244023,796.25,-1610,-350,
1759265565253985,-385,-1741.25,332.5,
1759265565263969,-1435,-1636.25,796.25,
1759265565273988,-1645,-1592.5,673.75,
1759265565283985,-1872.5,-1653.75,770,
1759265565294005,-1828.75,-1067.5,726.25,
1759265565304011,-2012.5,-1312.5,630,
1759265565314000,-1225,-1688.75,376.25,
1759265565323976,-796.25,-1767.5,-236.25,
1759265565333995,-52.5,-2248.75,-472.5,
1759265565343993,875,-2196.25,-568.75,
1759265565354236,1636.25,-2240,-1102.5,
1759265565363988,2397.5,-2441.25,-910,
1759265565373964,2695,-2152.5,-1032.5,
1759265565383978,2511.25,-2047.5,-1242.5,
1759265565393981,1925,-1890,-997.5,
1759265565403964,1347.5,-1277.5,-962.5,
1759265565413955,1225,-1172.5,-26.25,
1759265565423974,778.75,-752.5,17.5,
1759265565434011,218.75,-463.75,-26.25,
1759265565444009,-507.5,-665,743.75,
1759265565454089,-673.75,-945,708.75,
1759265565463965,-787.5,-1067.5,778.75,
1759265565474002,-271.25,-1601.25,621.25,
1759265565483999,-175,-1741.25,586.25,
1759265565493997,420,-1916.25,656.25,
1759265565503986,490,-2555,-472.5,
1759265565513992,1023.75,-2861.25,-778.75,
1759265565523990,1356.25,-2581.25,-1085,
1759265565533987,1155,-2196.25,-945,
1759265565544028,1050,-1968.75,-1067.5,
1759265565553945,1443.75,-1225,-822.5,
1759265565563981,726.25,-1076.25,-805,
1759265565574186,-43.75,-577.5,-201.25,
1759265565583937,350,-35,-17.5,
1759265565593973,-43.75,516.25,253.75,
1759265565604110,-148.75,918.75,586.25,
1759265565613968,-656.25,927.5,428.75,
1759265565623966,-175,647.5,-236.25,
1759265565634050,52.5,603.75,-516.25,
1759265565643961,-192.5,-131.25,-927.5,
1759265565653963,796.25,166.25,-1041.25,
1759265565663957,490,122.5,-1312.5,
1759265565673995,-52.5,-647.5,-1513.75,
1759265565684013,0,-1041.25,-927.5,
1759265565693950,35,-1128.75,-717.5,
1759265565704047,201.25,-1855,192.5,
1759265565714072,332.5,-280,560,
1759265565723943,437.5,-892.5,-280,
1759265565733941,-848.75,-980,-586.25,
1759265565743938,-3106.25,1347.5,-490,
1759265565753953,-936.25,323.75,1767.5,
1759265565763934,402.5,-218.75,-271.25,
1759265565773962,1540,2240,-1513.75,
1759265565783929,-236.25,1172.5,1050,
1759265565794121,-831.25,1452.5,1968.75,
1759265565803948,682.5,1540,-1461.25,
1759265565814047,2397.5,1443.75,-2712.5,
1759265565824005,1855,26.25,-1251.25,
1759265565834003,848.75,1338.75,1688.75,
1759265565844040,918.75,-280,-1513.75,
1759265565853723,2318.75,1811.25,-2782.5,
1759265565863996,1575,376.25,-1898.75,
1759265565873993,-2257.5,-1470,-306.25,
1759265565884022,-2791.25,-2940,43.75,
1759265565894020,621.25,1373.75,-385,
1759265565904222,612.5,2380,1426.25,
1759265565913984,-2012.5,-87.5,227.5,
1759265565923933,-2642.5,3272.5,3473.75,
1759265565933979,-2021.25,-4952.5,2353.75,
1759265565944008,-4891.25,-2992.5,-1750,
1759265565954087,997.5,1925,1566.25,
1759265565963923,4348.75,-2318.75,1960,
1759265565974008,1146.25,-525,-175,
1759265565984008,3202.5,-796.25,-3911.25,
1759265565994006,4051.25,-5276.25,-3473.75,
1759265566004027,3692.5,-1050,-2380,
1759265566014031,6405,805,-455,
1759265566023998,5556.25,1137.5,-1645,
1759265566034063,1601.25,-630,-1986.25,
1759265566044060,1006.25,-980,1855,
1759265566054062,-2143.75,2808.75,700,
1759265566064055,-988.75,2126.25,2056.25,
1759265566074054,1093.75,647.5,2275,
1759265566083944,-140,1828.75,3132.5,
1759265566094048,-1452.5,26.25,752.5,
1759265566104029,-1023.75,-2677.5,1006.25,
1759265566114045,-35,-2065,393.75,
1759265566124133,2301.25,-2528.75,-1793.75,
1759265566134101,1951.25,-3360,-1032.5,
1759265566144295,2371.25,-5206.25,-2441.25,
1759265566154133,2756.25,-2966.25,-700,
1759265566163965,3876.25,-2117.5,-1758.75,
1759265566173962,1697.5,-4567.5,-1373.75,
1759265566183960,743.75,-1785,-43.75,
1759265566193957,1706.25,8.75,612.5,
1759265566204025,-665,516.25,700,
1759265566214046,280,1881.25,105,
1759265566224020,-148.75,1802.5,2686.25,
1759265566234018,-2021.25,1750,411.25,
1759265566244015,-288.75,717.5,323.75,
1759265566254045,1181.25,516.25,-201.25,
1759265566264011,708.75,472.5,-603.75,
1759265566274008,2511.25,-1085,87.5,
1759265566284100,2170,-1942.5,-1758.75,
1759265566293921,1566.25,-2170,-2450,
1759265566304004,1960,-3605,-2143.75,
1759265566314047,971.25,-3526.25,-288.75,
1759265566324094,166.25,-3141.25,-1163.75,
1759265566333993,262.5,-2441.25,-122.5,
1759265566344016,-1207.5,-2388.75,411.25,
1759265566353988,-3491.25,-1338.75,516.25,
1759265566363986,-2948.75,-1496.25,1181.25,
1759265566373984,-3465,-332.5,1347.5,
1759265566383982,-3578.75,988.75,1478.75,
1759265566393979,-1925,-113.75,1260,
1759265566403976,-1566.25,393.75,577.5,
1759265566414004,-1111.25,-323.75,-630,
1759265566423974,1715,-358.75,-866.25,
1759265566433969,1758.75,297.5,-2441.25,
1759265566443966,2152.5,-927.5,-2975,
1759265566454014,3526.25,-770,-2196.25,
1759265566464058,2108.75,-516.25,-2966.25,
1759265566474056,1470,-866.25,-2607.5,
1759265566483957,988.75,-1216.25,-1461.25,
1759265566494051,-1295,-533.75,-288.75,
1759265566504003,-1382.5,-735,673.75,
1759265566514048,-2318.75,-1032.5,770,
1759265566523948,-4410,-455,1041.25,
1759265566533971,-4453.75,-1382.5,2021.25,
1759265566544033,-3806.25,-1155,2091.25,
1759265566554037,-4392.5,-1522.5,498.75,
1759265566564035,-2808.75,-1443.75,393.75,
1759265566574184,-1968.75,-1968.75,-385,
1759265566583934,-1671.25,-1986.25,-1207.5,
1759265566593931,96.25,-1758.75,-1776.25,
1759265566603763,962.5,-1662.5,-1680,
1759265566613977,726.25,-1312.5,-1898.75,
1759265566623975,2161.25,-743.75,-2003.75,
1759265566633973,2248.75,43.75,-1286.25,
1759265566644063,953.75,96.25,-1312.5,
1759265566654014,980,726.25,-621.25,
1759265566663940,595,586.25,-262.5,
1759265566674010,-787.5,1032.5,-201.25,
1759265566684012,-402.5,752.5,568.75,
1759265566694051,-1032.5,376.25,297.5,
1759265566704002,-2003.75,227.5,280,
1759265566714133,-1365,-1207.5,420,
1759265566723997,-1627.5,-1680,358.75,
1759265566733999,-1417.5,-2117.5,-192.5,
1759265566743992,-26.25,-2756.25,8.75,
1759265566753994,-463.75,-3228.75,96.25,
1759265566763993,131.25,-2808.75,-306.25,
1759265566773990,700,-3473.75,-87.5,
1759265566783982,218.75,-2712.5,-831.25,
1759265566794028,175,-2213.75,-26.25,
1759265566803978,1330,-1452.5,61.25,
1759265566814023,262.5,-157.5,-105,
1759265566823993,936.25,323.75,-96.25,
1759265566833972,1356.25,717.5,262.5,
1759265566844016,787.5,1041.25,280,
1759265566854060,1645,717.5,-262.5,
1759265566864083,2231.25,1032.5,253.75,
1759265566874038,1557.5,892.5,-638.75,
1759265566883961,2143.75,0,-411.25,
1759265566894005,2493.75,-437.5,-1242.5,
1759265566904002,1933.75,-997.5,-1067.5,
1759265566914000,1960,-1662.5,-778.75,
1759265566923997,2038.75,-1688.75,-498.75,
1759265566933996,1023.75,-1811.25,-525,
1759265566944025,665,-2380,227.5,
1759265566954104,551.25,-2082.5,927.5,
1759265566964264,-778.75,-2397.5,656.25,
1759265566974123,-778.75,-1986.25,1531.25,
1759265566984035,-385,-1618.75,1470,
1759265566993981,-647.5,-1268.75,1198.75,
1759265567003980,253.75,-778.75,717.5,
1759265567014133,691.25,-953.75,0,
1759265567024039,918.75,-218.75,-87.5,
1759265567034113,2415,262.5,-927.5,
1759265567044053,2826.25,358.75,-1120,
1759265567054078,2843.75,945,-1925,
1759265567063965,3517.5,953.75,-1260,
1759265567074155,3325,770,-1242.5,
1759265567084074,2546.25,813.75,-1102.5,
1759265567094277,2852.5,122.5,-271.25,
1759265567104165,2143.75,446.25,-376.25,
1759265567113916,1146.25,315,315,
1759265567124118,1102.5,-113.75,297.5,
1759265567134076,-595,-218.75,726.25,
1759265567144071,-1172.5,-665,428.75,
1759265567153944,-656.25,-1496.25,962.5,
1759265567164012,-1242.5,-927.5,341.25,
1759265567174050,-883.75,-1391.25,192.5,
1759265567184062,-752.5,-1303.75,166.25,
1759265567194005,-796.25,-1365,-411.25,
1759265567203932,-568.75,-1242.5,411.25,
1759265567214121,831.25,-1128.75,-105,
1759265567224053,603.75,-148.75,-122.5,
1759265567233998,1067.5,315,-437.5,
1759265567244087,1540,875,-656.25,
1759265567253990,1032.5,1172.5,-1137.5,
1759265567263988,971.25,1382.5,-1067.5,
1759265567274007,1321.25,1951.25,-962.5,
1759265567284037,945,2012.5,-1277.5,
1759265567294019,761.25,1881.25,-437.5,
1759265567304018,542.5,1382.5,-665,
1759265567313745,262.5,892.5,-525,
1759265567324029,-35,70,-533.75,
1759265567333926,-665,-122.5,-78.75,
1759265567344063,-901.25,-997.5,96.25,
1759265567353921,-586.25,-953.75,105,
1759265567363965,-1076.25,-1435,630,
1759265567374016,-1662.5,-1767.5,-157.5,
1759265567383990,-1566.25,-1933.75,-332.5,
1759265567394051,-1426.25,-1793.75,-87.5,
1759265567404010,-1426.25,-1085,-43.75,
1759265567413952,-402.5,-840,-105,
1759265567424006,-875,-551.25,-192.5,
1759265567433947,-936.25,43.75,-183.75,
1759265567444038,-280,-8.75,-227.5,
1759265567453998,52.5,490,-463.75,
1759265567463947,507.5,988.75,-621.25,
1759265567474058,1312.5,988.75,-726.25,
1759265567483991,1085,726.25,-1120,
1759265567494034,717.5,1058.75,-1163.75,
1759265567504027,1242.5,420,-971.25,
1759265567514025,918.75,131.25,-1172.5,
1759265567524148,323.75,-621.25,-726.25,
1759265567534019,577.5,-1032.5,-761.25,
1759265567544026,-402.5,-1365,-245,
1759265567554159,-621.25,-1890,-402.5,
1759265567563972,-936.25,-2572.5,236.25,
1759265567574017,-1680,-2257.5,306.25,
1759265567583778,-1653.75,-2467.5,883.75,
1759265567593965,-1592.5,-2485,446.25,
1759265567604027,-1391.25,-2240,586.25,
1759265567613961,-1006.25,-2187.5,533.75,
1759265567624027,-1032.5,-2205,-113.75,
1759265567633995,-1076.25,-1671.25,-332.5,
1759265567643763,323.75,-1435,-542.5,
1759265567653951,1023.75,-1155,-778.75,
1759265567663988,1872.5,-726.25,-892.5,
1759265567673986,2283.75,-805,-1190,
1759265567683984,2021.25,-805,-1155,
1759265567693981,1741.25,-638.75,-1365,
1759265567703979,1697.5,-446.25,-1102.5,
1759265567713976,1373.75,-1155,-945,
1759265567724016,1032.5,-875,-350,
1759265567733786,253.75,-1225,-306.25,
1759265567743970,-78.75,-1583.75,-245,
1759265567753968,-945,-2047.5,35,
1759265567763966,-761.25,-1916.25,560,
1759265567773923,-568.75,-2318.75,761.25,
1759265567783958,-918.75,-3088.75,411.25,
1759265567793957,-560,-3491.25,516.25,
1759265567804119,-577.5,-3290,568.75,
1759265567813951,-673.75,-3001.25,-341.25,
1759265567824020,341.25,-3395,-280,
1759265567833947,463.75,-2546.25,-656.25,
1759265567844069,857.5,-2047.5,-822.5,
1759265567853972,1382.5,-1496.25,-446.25,
1759265567863941,883.75,-848.75,-1128.75,
1759265567874106,1321.25,-306.25,-717.5,
1759265567883934,936.25,-323.75,-743.75,
1759265567894208,1408.75,402.5,-840,
1759265567903931,1382.5,280,-122.5,
1759265567914055,1058.75,70,-323.75,
1759265567924268,883.75,-96.25,-402.5,
1759265567933924,761.25,-236.25,-533.75,
1759265567943996,813.75,-1190,-560,
1759265567953989,236.25,-1601.25,-315,
1759265567963987,533.75,-1925,-411.25,
1759265567974027,306.25,-2362.5,-446.25,
1759265567983982,-533.75,-2415,-332.5,
1759265567994036,-323.75,-2537.5,-175,
1759265568003977,-752.5,-2318.75,-96.25,
1759265568013975,-971.25,-2065,350,
1759265568024304,-892.5,-1365,682.5,
1759265568033970,-988.75,-1155,568.75,
1759265568043971,-1426.25,-183.75,385,
1759265568053920,-463.75,-157.5,253.75,
1759265568063917,-192.5,402.5,175,
1759265568074056,-280,630,-332.5,
1759265568083975,796.25,1225,-542.5,
1759265568094048,1146.25,1408.75,-1120,
1759265568103953,1487.5,1015,-1330,
1759265568114008,1443.75,1050,-1531.25,
1759265568124046,1461.25,665,-1680,
1759265568134003,1470,726.25,-1242.5,
1759265568143965,1111.25,560,-621.25,
1759265568153984,805,315,-621.25,
1759265568163907,210,105,-131.25,
1759265568174034,-385,-26.25,183.75,
1759265568183991,-1365,-1260,630,
1759265568194057,-7358.75,-131.25,88191.2,
1759265568203948,-2345,65397.5,286685,
1759265568213984,-10832.5,37441.2,286685,
1759265568224146,-32042.5,25733.8,222968,
1759265568234055,-33635,9572.5,19696.2,
1759265568244009,-3543.75,36347.5,-135818,
1759265568254012,44117.5,50907.5,-177721,
1759265568263933,25926.2,-23135,-149266,
1759265568274010,32068.8,-9765,-155155,
1759265568283967,39943.8,-67935,-156398,
1759265568294029,7673.75,-98848.8,-40215,
1759265568303869,20825,-88060,28210,
1759265568314013,40801.2,-54853.8,55308.8,
1759265568324014,-6903.75,-76588.8,-25865,
1759265568334022,-49201.2,-70638.8,-80097.5,
1759265568344054,-66045,-110040,-57295,
1759265568353990,-80526.2,-89110,-34632.5,
1759265568363989,-72756.2,-88987.5,-15391.2,
1759265568374039,-58485,-76160,-17788.8,
1759265568383986,-69842.5,-32112.5,20107.5,
1759265568393942,-63656.2,-18532.5,75958.8,
1759265568404000,-77883.8,-1758.75,109410,
1759265568413976,-50732.5,-4865,68215,
1759265568424185,-1207.5,8688.75,3430,
1759265568433932,32296.2,6396.25,-41868.8,
1759265568443969,-14271.2,30695,-172699,
1759265568453970,-35201.2,26661.2,-186200,
1759265568463989,8295,22146.2,-87850,
1759265568473965,26442.5,4095,48825,
1759265568484070,29680,-46016.2,143168,
1759265568493959,-12512.5,-52150,158690,
1759265568504027,-19985,-37747.5,82048.8,
1759265568514027,11488.8,-15277.5,-26267.5,
1759265568523975,59456.2,17771.2,-75512.5,
1759265568534020,91183.8,18156.2,-71190,
1759265568544189,79021.2,13956.2,-21008.8,
1759265568553969,60830,21227.5,23555,
1759265568563967,61932.5,26950,69816.2,
1759265568574111,65030,68381.2,33223.8,
1759265568583983,87403.8,59876.2,7813.75,
1759265568593959,86791.2,61836.2,-9861.25,
1759265568603931,59430,72406.2,-30117.5,
1759265568613929,50198.8,48151.2,31185,
1759265568624080,92785,62991.2,85522.5,
1759265568633950,47285,32182.5,36758.8,
1759265568644047,43181.2,-3351.25,-38185,
1759265568653948,37205,30485,-77691.2,
1759265568663989,19635,33643.8,-21630,
1759265568674043,-6317.5,40678.8,-16248.8,
1759265568684130,-75862.5,12573.8,-12188.8,
1759265568694021,-94587.5,-4427.5,-31421.2,
1759265568704019,-136439,23896.2,-61670,
1759265568714028,-108859,15321.2,-78846.2,
1759265568724155,-131136,-1653.75,-123795,
1759265568734026,-142888,-18191.2,-89556.2,
1759265568744027,-159171,-35630,-110731,
1759265568754007,-143876,-12293.8,-96442.5,
1759265568764019,-106671,-50356.2,-65870,
1759265568773983,-92085,-22443.8,-8487.5,
1759265568784002,-68880,-45298.8,1487.5,
1759265568793959,-53025,-49078.8,58721.2,
1759265568803742,-26451.2,-55536.2,134452,
1759265568813954,10535,-93686.2,219328,
1759265568824302,28735,-82118.8,252245,
1759265568834152,52998.8,-90151.2,166416,
1759265568844047,77026.2,-116532,47766.2,
1759265568854096,87482.5,-95987.5,-37502.5,
1759265568864084,110329,-108955,-56411.2,
1759265568874123,123952,-103460,-80307.5,
1759265568884037,154122,-69177.5,-71653.8,
1759265568894104,161149,31473.8,-80123.8,
1759265568904115,137725,49533.8,-74891.2,
1759265568914031,55597.5,96346.2,-51117.5,
1759265568924195,16467.5,86030,7218.75,
1759265568934155,-2677.5,124486,36251.2,
1759265568944149,64767.5,160344,8531.25,
1759265568954064,46462.5,145486,-10193.8,
1759265568964058,28787.5,168639,-35752.5,
1759265568974223,-27273.8,166268,-29872.5,
1759265568984121,-76448.8,161945,36085,
1759265568994137,-40241.2,139878,142739,
1759265569004041,14787.5,66622.5,133718,
1759265569013844,35682.5,74891.2,89888.8,
1759265569024215,-48895,128205,45342.5,
1759265569034106,23913.8,14288.8,-39891.2,
1759265569044164,63087.5,-17158.8,-12993.8,
1759265569054164,22391.2,-47407.5,20571.2,
1759265569064059,51406.2,-19512.5,10141.2,
1759265569074122,115202,-45631.2,-20090,
1759265569084033,96547.5,-126271,2808.75,
1759265569094113,41798.8,-186778,-15785,
1759265569104067,71496.2,-108159,-19013.8,
